majlis_id,term,name,name_dv,constituency,constituency_dv,party,seat_no,photo_url,source_id
3,18,Ibrahim Shujau,އިބްރާހީމް ޝުޖާޢު,Baarashu Dhaaira,ބާރަށު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/1UI8TmeTSLgKFmoBPHE6SMMwmNWOtL5NqGk0LGHu.jpeg,majlis-member-roster
2,18,Mohamed Abdulla,މުޙައްމަދު ޢަބްދުﷲ,Ihavandhoo Dhaairaa,އިހަވަންދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/jQLm4naQxDDCB7p5PbNmbp5QTFtTQhtbmH4mPpdv.jpeg,majlis-member-roster
32,18,Mohamed Waheed Ibrahim,މުޙައްމަދު ވަޙީދު އިބްރާހީމް,Thulusdhoo Dhaaira,ތުލުސްދޫ ދާއިރާ,IND,0,https://majlis.gov.mv/storage/members/vyGUSbUHDZ0HUcM8Iz6W9Qr1U0ZWwtXAxjjocWaX.jpeg,majlis-member-roster
42,18,Ibrahim Naseer,އިބްރާހީމް ނަޞީރު,Mulaku Dhaaira,މުލަކު ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/dJq03vhP86aQgqfMGBvgLpP4lgLfG0Rv0fLfD9A9.jpeg,majlis-member-roster
40,18,Moosa Nizar Ibrahim,މޫސާ ނިޒާރު އިބްރާހީމް,Keyodhoo Dhaaira,ކެޔޮދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/LJZynNkq3JsFDONuURv3z6eQMunEcsszasCoOLlC.jpeg,majlis-member-roster
39,18,Ahmed Marzoog,އަޙްމަދު މަރުޒޫޤް,Felidhoo Dhaaira,ފެލިދޫ ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/CDR1o1ufiUPyxTAMlQpO6ubPeMuZrGttSA0qBIt9.jpeg,majlis-member-roster
38,18,Ilham Ahmed,އިލްހާމް އަޙްމަދު,Dhangethi Dhaaira,ދަނގެތި ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/CzUgQXjiiSVdp2R665sfeXDYgrfVvdEf1yQTXUso.jpeg,majlis-member-roster
37,18,Ahmed Thariq,އަޙްމަދު ޠާރިޤް,Mahibadhoo Dhaaira,މަހިބަދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/CN1Iu8NWxnT8lGWww6FEjKeSQYXEMjiX0VuL2c73.jpeg,majlis-member-roster
36,18,Qasim Ibrahim,ޤާސިމް އިބްރާހީމް,Maamigili Dhaaira,މާމިގިލި ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/V3CNC3H3w1d3upiB9bhVptimzhMjFiJYsQaHbdlJ.jpeg,majlis-member-roster
35,18,Ibrahim Hassan,އިބްރާހީމް ޙަސަން,Thoddoo Dhaaira,ތޮއްޑޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/80HnK6Kkbq0K1mtnnIqtxd1nrFEwM1Ei7PpB72BO.jpeg,majlis-member-roster
34,18,Hussain Mohamed,ޙުސައިން މުޙައްމަދު,Mathiveri Dhaaira,މަތިވެރި ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/dQSIyZWZYfYCPnBZEsTmO5sSu8TbAcHkRIveYxYo.jpeg,majlis-member-roster
33,18,Ibrahim Riza,އިބްރާހީމް ރިޒާ,Guraidhoo Dhaaira,ގުރައިދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/4WKTfh1MCVswPisg4kgtw8cdUr4HgvERXRC1h81Y.jpeg,majlis-member-roster
1,18,Hon. Mohamed Ismail,އަލްފާޟިލް މުޙައްމަދު އިސްމާޢީލް,Hoarafushi Dhaaira,ހޯރަފުށި ދާއިރާ,MDA,0,https://majlis.gov.mv/storage/members/BIpV5NnekxC3X9JyXr1athXZHlKsDC5ezF6dEJSv.jpeg,majlis-member-roster
30,18,Abdul Baaree Abdulla,ޢަބްދުލްބާރީ ޢަބްދުﷲ,Kurendhoo Dhaaira,ކުރެންދޫ ދާއިރާ,MDP,0,https://majlis.gov.mv/storage/members/Pdiqd87A2IBS2D9HaZ8STbiV0EWshnHraEvm4bDz.jpeg,majlis-member-roster
29,18,Ahmed Shiyam,އަޙްމަދު ޝިޔާމް,Naifaru Dhaaira,ނައިފަރު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/KSktUFKSdVNh7P57eq1vasuXa6o9gWlqTUMWlxR6.jpeg,majlis-member-roster
27,18,Ali Hussain,ޢަލީ ޙުސައިން,Kendhoo Dhaaira,ކެންދޫ ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/rYklgLxeOTGzDqf8IMSPqf0aG9KPTZxOBU4mpTHD.jpeg,majlis-member-roster
26,18,Ahmed Saleem,އަޙްމަދު ސަލީމް,Eydhafushi Dhaaira,އޭދަފުށި ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/OpFt9uJVOXdwrnPsVOIuCcskFdu2ImpgNInaPdGf.jpeg,majlis-member-roster
25,18,Nazim Rashaad,ނާޒިމް ރަޝާދު,Thulhaadhoo Dhaaira,ތުޅާދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/hB6d21FNTLnpFBLbopTixJz7DgTChJJLlstbLye0.jpeg,majlis-member-roster
24,18,Mohamed Ameeth Ahmed Manik,މުޙައްމަދު އަމީތު އަޙްމަދުމަނިކު,Maduvvari Dhaaira,މަޑުއްވަރި ދާއިރާ,JP,0,https://majlis.gov.mv/storage/members/qF9bqfkcDyu9xW0tzdZB39oPbbNJVtE5l8o8gkJO.jpeg,majlis-member-roster
23,18,Ibrahim Falah,އިބްރާހީމް ފަލާޙް,Inguraidhoo Dhaaira,އިނގުރައިދޫ ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/PX8HKNCsKwszcuBBGrCiN5RCx33LNpYYzHPVOVwB.jpeg,majlis-member-roster
22,18,Mohamed Ali,މުޙައްމަދު ޢަލީ,Dhuvaafaru Dhaaira,ދުވާފަރު ދާއިރާ,PPM,0,https://majlis.gov.mv/storage/members/1eniGp4O400VPBCbS8u1BKGU46sMeFrUuQUK3N1A.jpeg,majlis-member-roster
28,18,Ibrahim Mohamed Solih,އިބްރާހީމް މުޙައްމަދު ޞާލިޙް,Hinnavaru Dhaaira,ހިންނަވަރު ދާއިރާ,MDP,,https://majlis.gov.mv/storage/members/RRqwN4kGctJPSwhSr4o788Hg9nomj1jEMheFoizH.jpeg,majlis-member-roster
31,18,Faisal Naseem,ފައިސަލް ނަސީމް,Kaashidhoo Dhaaira,ކާށިދޫ ދާއިރާ,JP,,https://majlis.gov.mv/storage/members/pu3m5aw4p0xbq2W3HyBGQJrnKAlSzdu1s3FVCr0L.jpeg,majlis-member-roster
41,18,Ahmed Faris Maumoon,އަޙްމަދު ފާރިސް މައުމޫން,Dhiggaru Dhaaira,ދިއްގަރު ދާއިރާ,PPM,,https://majlis.gov.mv/storage/members/JqqeP9AHTATSxRcnAwICnkVq4e6O6w0os3aO8tgl.jpeg,majlis-member-roster
52,18,Fayyaz Ismail,ފައްޔާޞް އިސްމާޢީލް,Gan Dhaaira,ގަމު ދާއިރާ,MDP,,https://majlis.gov.mv/storage/members/H4ZaTlH6bkiXJgoT26xMJUvRW5xcKg8RlxffIjjK.jpeg,majlis-member-roster
76,18,Abdulla Shahid,ޢަބްދުﷲ ޝާހިދު,Henveyru Uthuru Dhaaira,ހެންވޭރު އުތުރު ދާއިރާ,MDP,,https://majlis.gov.mv/storage/members/hRBM1HcjOPOd0fpSJRkXHmWc5sPm49WjKH3BF4S1.jpeg,majlis-member-roster
77,18,Ahmed Mahloof,އަޙްމަދު މަޙްލޫފް,Galolhu Dhekunu Dhaaira,ގަލޮޅު ދެކުނު ދާއިރާ,PPM,,https://majlis.gov.mv/storage/members/D8S1hxx4bGbpHMVOB9wJPEZdbGThfzjPXdlALoVT.jpeg,majlis-member-roster
80,18,Mariya Ahmed Didi,މާރިޔާ އަޙްމަދު ދީދީ,Mahchangoalhi Uthuru Dhaaira,މައްޗަންގޮޅި އުތުރު ދާއިރާ,MDP,,https://majlis.gov.mv/storage/members/ltDjjjRpTXPullYkxEFB37uWTg5UPtwyTnHYGCdC.jpeg,majlis-member-roster
